Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
Se7en,1995,18+,8.6/10,100/100,+ Rent or Buy
Spirited Away,2003,7+,8.6/10,99/100,+ Rent or Buy
Up,2009,7+,8.2/10,99/100,+ Rent or Buy
The Intouchables,2011,18+,8.5/10,98/100,+ Rent or Buy
3 Idiots,2009,13+,8.4/10,97/100,+ Rent or Buy
Seven Samurai,1954,,8.6/10,97/100,+ Rent or Buy
Howl's Moving Castle,2004,7+,8.2/10,95/100,+ Rent or Buy
My Neighbor Totoro,1988,all,8.2/10,95/100,+Rent or Buy
The Irishman,2019,18+,7.8/10,94/100,
Modern Times,1936,all,8.5/10,94/100,+ Rent or Buy
Marriage Story,2019,18+,7.9/10,93/100,
Dangal,2016,7+,8.4/10,93/100,
Once Upon a Time in America,1984,18+,8.4/10,93/100,Rent or Buy
City Lights,1931,all,8.5/10,92/100,+ Rent or Buy
Dog Day Afternoon,1975,18+,8.0/10,92/100,+ Rent or Buy
Das Boot,1981,18+,8.3/10,92/100,Rent or Buy
La Haine,1995,,8.1/10,92/100,+ Rent or Buy
Rashomon,1950,13+,8.2/10,92/100,+ Rent or Buy
The Seventh Seal,1957,,8.2/10,92/100,+ Rent or Buy
Castle in the Sky,1986,7+,8.0/10,92/100,+ Rent or Buy
David Attenborough: A Life on Our Planet,2020,7+,9.0/10,92/100,
X2,2003,13+,7.4/10,91/100,+ Rent or Buy
Mary Poppins,1964,all,7.8/10,91/100,+ Rent or Buy
Bicycle Thieves,1948,,8.3/10,91/100,+ Rent or Buy
Three Colors: Red,1994,18+,8.1/10,91/100,+ Rent or Buy
The Maltese Falcon,1941,,8.0/10,91/100,+ Rent or Buy
13th,2016,18+,8.2/10,91/100,
Diabolique,1955,,8.1/10,91/100,+ Rent or Buy
Persona,1966,,8.1/10,91/100,+ Rent or Buy
Solaris,1972,7+,8.1/10,91/100,+ Rent or Buy
The Dark Knight,2008,13+,9.0/10,90/100,+ Rent or Buy
Ikiru,1952,,8.3/10,90/100,+ Rent or Buy
Yojimbo,1961,,8.2/10,90/100,+ Rent or Buy
The Straight Story,1999,all,8.0/10,90/100,+ Rent or Buy
Three Colors: Blue,1993,18+,7.9/10,90/100,+ Rent or Buy
Justice League: The Flashpoint Paradox,2013,13+,8.1/10,90/100,+ Rent or Buy
Mary and Max,2009,,8.1/10,90/100,Rent or Buy
A Nightmare on Elm Street,1984,18+,7.5/10,90/100,+ Rent or Buy
Roma,2018,18+,7.7/10,90/100,
Inception,2010,13+,8.8/10,90/100,+ Rent or Buy
All About Eve,1950,7+,8.2/10,90/100,Rent or Buy
Wild Strawberries,1957,18+,8.2/10,89/100,+ Rent or Buy
Batman: Under the Red Hood,2010,13+,8.1/10,89/100,+ Rent or Buy
To All the Boys I've Loved Before,2018,13+,7.1/10,89/100,
Lagaan: Once Upon a Time in India,2001,7+,8.1/10,89/100,
The Trial of the Chicago 7,2020,18+,7.8/10,89/100,
The Hunt for Red October,1990,7+,7.6/10,89/100,Rent or Buy
Fruitvale Station,2013,18+,7.5/10,89/100,+ Rent or Buy
Fanny and Alexander,1982,18+,8.1/10,89/100,+ Rent or Buy
The Social Dilemma,2020,13+,7.6/10,89/100,
Harakiri,1962,,8.6/10,89/100,+ Rent or Buy
Tumbbad,2018,,8.3/10,88/100,
The Shawshank Redemption,1994,18+,9.3/10,88/100,Rent or Buy
The Godfather,1972,18+,9.2/10,88/100,+ Rent or Buy
Okja,2017,13+,7.3/10,88/100,
The Wages of Fear,1953,13+,8.1/10,88/100,+ Rent or Buy
Dolemite Is My Name,2019,18+,7.3/10,88/100,
The Ballad of Buster Scruggs,2018,16+,7.3/10,88/100,
Article 15,2019,18+,8.2/10,88/100,
Andrei Rublev,1966,18+,8.1/10,88/100,+ Rent or Buy
Pulp Fiction,1994,18+,8.9/10,88/100,+ Rent or Buy
The Philadelphia Story,1940,,7.9/10,88/100,+ Rent or Buy
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7/10,88/100,
The Battle of Algiers,1966,,8.1/10,88/100,+ Rent or Buy
The Matrix,1999,18+,8.7/10,88/100,+ Rent or Buy
Suspiria,1977,18+,7.4/10,87/100,+ Rent or Buy
Mudbound,2017,18+,7.4/10,87/100,
King Kong,1933,,7.9/10,87/100,+ Rent or Buy
The Lord of the Rings: The Fellowship of the Ring,2001,13+,8.8/10,87/100,+ Rent or Buy
Swades,2004,all,8.2/10,87/100,+ Rent or Buy
Z,1969,,8.3/10,87/100,+ Rent or Buy
Chak De! India,2007,7+,8.2/10,87/100,+ Rent or Buy
The Secret World of Arrietty,2010,all,7.6/10,87/100,+ Rent or Buy
Throne of Blood,1957,,8.1/10,87/100,+ Rent or Buy
Fyre,2019,18+,7.2/10,87/100,
The Celebration,1998,18+,8.1/10,87/100,Rent or Buy
The Lord of the Rings: The Return of the King,2003,13+,8.9/10,87/100,+ Rent or Buy
A Bittersweet Life,2005,18+,7.5/10,87/100,+ Rent or Buy
Interstellar,2014,13+,8.6/10,87/100,Rent or Buy
La Strada,1954,,8.0/10,87/100,+ Rent or Buy
Neon Genesis Evangelion: The End of Evangelion,1997,,8.1/10,87/100,
Gully Boy,2019,,8.0/10,87/100,
Eraserhead,1978,,7.4/10,86/100,+ Rent or Buy
Greyhound,2020,13+,7.0/10,86/100,
Pather Panchali,1955,,8.6/10,86/100,+ Rent or Buy
Miss Americana,2020,18+,7.4/10,86/100,
The Platform,2019,18+,7.0/10,86/100,
High and Low,1963,,8.4/10,86/100,+ Rent or Buy
To Be or Not to Be,1942,all,8.2/10,86/100,
Contact,1997,7+,7.5/10,86/100,+ Rent or Buy
Virunga,2014,16+,8.2/10,86/100,
Minding the Gap,2018,18+,8.1/10,86/100,
The Player,1992,18+,7.5/10,86/100,+ Rent or Buy
Fight Club,1999,18+,8.8/10,86/100,Rent or Buy
"Rome, Open City",1945,,8.1/10,86/100,+ Rent or Buy
Forrest Gump,1994,13+,8.8/10,86/100,Rent or Buy
Breaking the Waves,1996,18+,7.8/10,86/100,+ Rent or Buy
Back to the Future,1985,7+,8.5/10,86/100,+ Rent or Buy
Alice in Wonderland,1951,all,7.4/10,86/100,+ Rent or Buy
Avengers: Endgame,2019,13+,8.4/10,86/100,+ Rent or Buy
Withnail & I,1987,18+,7.6/10,86/100,+ Rent or Buy
The Thin Man,1934,7+,8.0/10,86/100,+ Rent or Buy
The Prestige,2006,13+,8.5/10,86/100,+ Rent or Buy
The Lord of the Rings: The Two Towers,2002,13+,8.7/10,86/100,+ Rent or Buy
Soul,2020,7+,8.1/10,86/100,+ Rent or Buy
Bo Burnham: Make Happy,2016,18+,8.4/10,86/100,
I Am Mother,2019,13+,6.7/10,86/100,
The Dark Knight Rises,2012,13+,8.4/10,86/100,+ Rent or Buy
The Report,2019,18+,7.2/10,86/100,
Thunder Road,2018,18+,7.1/10,86/100,+ Rent or Buy
Avengers: Infinity War,2018,13+,8.4/10,86/100,+ Rent or Buy
The King,2019,18+,7.2/10,86/100,
Talvar,2015,7+,8.2/10,86/100,+ Rent or Buy
The Return,2003,,8.0/10,86/100,+ Rent or Buy
Saving Private Ryan,1998,18+,8.6/10,86/100,Rent or Buy
Honey Boy,2019,18+,7.3/10,86/100,
A Shaun the Sheep Movie: Farmageddon,2019,all,6.8/10,86/100,
Pieces of a Woman,2020,18+,7.1/10,86/100,
Hard Boiled,1992,18+,7.8/10,86/100,Rent or Buy
Crip Camp: A Disability Revolution,2020,18+,7.7/10,86/100,
Tampopo,1985,,7.9/10,86/100,+ Rent or Buy
Deadpool,2016,18+,8.0/10,86/100,+ Rent or Buy
The Departed,2006,18+,8.5/10,86/100,+ Rent or Buy
Tell Me Who I Am,2019,18+,7.6/10,85/100,
The Wolf of Wall Street,2013,18+,8.2/10,85/100,Rent or Buy
Fantastic Planet,1973,7+,7.8/10,85/100,+ Rent or Buy
Star Wars: A New Hope,1977,7+,8.6/10,85/100,+ Rent or Buy
Star Wars: The Empire Strikes Back,1980,7+,8.7/10,85/100,+ Rent or Buy
Joker,2019,18+,8.4/10,85/100,+ Rent or Buy
A Prophet,2009,18+,7.9/10,85/100,Rent or Buy
Three Colors: White,1994,18+,7.6/10,85/100,+ Rent or Buy
Gangs of Wasseypur - Part 1,2012,18+,8.2/10,85/100,+ Rent or Buy
GoodFellas,1990,18+,8.7/10,85/100,+ Rent or Buy
Eyes Without a Face,1960,,7.7/10,85/100,+ Rent or Buy
Sholay,1975,,8.2/10,85/100,+ Rent or Buy
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,8.4/10,85/100,
Through a Glass Darkly,1961,,8.0/10,85/100,+ Rent or Buy
Parasite,2019,18+,8.6/10,85/100,+ Rent or Buy
The Silence of the Lambs,1991,18+,8.6/10,85/100,+ Rent or Buy
John Mulaney: Kid Gorgeous at Radio City,2018,18+,8.0/10,85/100,
Run,2020,13+,6.7/10,85/100,
Borat Subsequent Moviefilm,2020,18+,6.7/10,85/100,
Cries and Whispers,1972,18+,8.1/10,85/100,+ Rent or Buy
The Half of It,2020,13+,6.9/10,85/100,
Man with a Movie Camera,1929,,8.4/10,85/100,+ Rent or Buy
The Boy Who Harnessed the Wind,2019,7+,7.6/10,85/100,
The Many Adventures of Winnie the Pooh,1977,all,7.6/10,85/100,+ Rent or Buy
A Hard Day's Night,1964,all,7.6/10,85/100,+ Rent or Buy
I Lost My Body,2019,18+,7.6/10,85/100,
The Godfather: Part II,1974,18+,9.0/10,85/100,+ Rent or Buy
Dancer in the Dark,2000,18+,8.0/10,85/100,+ Rent or Buy
The Fundamentals of Caring,2016,18+,7.3/10,85/100,
Down by Law,1986,18+,7.7/10,85/100,+ Rent or Buy
Black Friday,2004,18+,8.5/10,85/100,
Au Revoir les Enfants,1987,7+,8.0/10,85/100,+ Rent or Buy
The Name of the Rose,1986,18+,7.7/10,85/100,Rent or Buy
Gerald's Game,2017,18+,6.5/10,85/100,
Guardians of the Galaxy,2014,13+,8.0/10,85/100,+ Rent or Buy
Sanjuro,1962,,8.1/10,85/100,+ Rent or Buy
Shutter Island,2010,18+,8.2/10,85/100,+ Rent or Buy
Belle de Jour,1967,18+,7.7/10,85/100,+ Rent or Buy
Conspiracy,2001,18+,7.7/10,85/100,+ Rent or Buy
The Avengers,2012,13+,8.0/10,85/100,+ Rent or Buy
Ivan's Childhood,1962,18+,8.1/10,85/100,+ Rent or Buy
Still Walking,2008,,7.9/10,85/100,+ Rent or Buy
The Devil All the Time,2020,18+,7.1/10,85/100,
A Woman Under the Influence,1974,18+,8.2/10,85/100,+ Rent or Buy
The King of Kong: A Fistful of Quarters,2007,13+,8.1/10,85/100,Rent or Buy
The Way Way Back,2013,13+,7.4/10,85/100,Rent or Buy
The Producers,1967,7+,7.6/10,84/100,+ Rent or Buy
Django Unchained,2012,18+,8.4/10,84/100,+ Rent or Buy
WALL·E,2008,all,8.4/10,84/100,+ Rent or Buy
Schindler's List,1993,18+,8.9/10,84/100,Rent or Buy
Memento,2000,18+,8.4/10,84/100,+ Rent or Buy
Extraction,2020,18+,6.7/10,84/100,
Mickey's Christmas Carol,1983,all,8.0/10,84/100,+ Rent or Buy
A Man Escaped,1956,,8.3/10,84/100,+ Rent or Buy
Dead Man,1995,18+,7.6/10,84/100,+ Rent or Buy
Gladiator,2000,18+,8.5/10,84/100,+ Rent or Buy
Paris Is Burning,1991,18+,8.2/10,84/100,+ Rent or Buy
Kind Hearts and Coronets,1949,13+,8.0/10,84/100,+ Rent or Buy
The Green Mile,1999,18+,8.6/10,84/100,Rent or Buy
On Body and Soul,2017,,7.6/10,84/100,
In the House,2012,18+,7.4/10,84/100,+ Rent or Buy
Arrival,2016,13+,7.9/10,84/100,+ Rent or Buy
Sunrise: A Song of Two Humans,1927,,8.1/10,84/100,Rent or Buy
Alien,1979,18+,8.4/10,84/100,+ Rent or Buy
Gone Girl,2014,18+,8.1/10,84/100,+ Rent or Buy
American Splendor,2003,18+,7.4/10,84/100,+ Rent or Buy
Fallen Angels,1995,18+,7.7/10,84/100,+ Rent or Buy
The Lion King,1994,all,8.5/10,84/100,+ Rent or Buy
Brief Encounter,1945,13+,8.0/10,84/100,+ Rent or Buy
Batman Begins,2005,13+,8.2/10,84/100,+ Rent or Buy
Umberto D.,1952,,8.2/10,84/100,+ Rent or Buy
Kiss the Ground,2020,18+,8.3/10,84/100,
The Vanishing,1988,,7.7/10,84/100,+ Rent or Buy
Raazi,2018,,7.8/10,84/100,+ Rent or Buy
The Truman Show,1998,7+,8.1/10,84/100,+ Rent or Buy
Yi Yi,2000,,8.2/10,84/100,
Night and Fog,1956,,8.6/10,84/100,+ Rent or Buy
Always Be My Maybe,2019,13+,6.8/10,84/100,
Cool Runnings,1993,7+,7.0/10,84/100,+ Rent or Buy
Mad Max: Fury Road,2015,18+,8.1/10,84/100,+ Rent or Buy
Night on Earth,1991,18+,7.7/10,84/100,+ Rent or Buy
Whiplash,2014,18+,8.5/10,84/100,+ Rent or Buy
Nine Queens,2000,18+,7.9/10,84/100,Rent or Buy
Scarface,1983,18+,8.3/10,84/100,+ Rent or Buy
Children of Paradise,1945,,8.4/10,84/100,+ Rent or Buy
Manhunter,1986,18+,7.2/10,84/100,Rent or Buy
The Visitor,2007,13+,7.6/10,84/100,+ Rent or Buy
A Secret Love,2020,18+,7.9/10,84/100,
Charlie and the Chocolate Factory,2005,7+,6.6/10,84/100,+ Rent or Buy
One Night in Miami...,2021,18+,7.1/10,84/100,
The Shining,1980,18+,8.4/10,84/100,+ Rent or Buy
Amarcord,1973,18+,7.9/10,84/100,+ Rent or Buy
The Umbrellas of Cherbourg,1964,13+,7.8/10,84/100,+ Rent or Buy
Stranger Than Paradise,1984,18+,7.5/10,84/100,+ Rent or Buy
Ali: Fear Eats the Soul,1974,,8.1/10,83/100,+ Rent or Buy
Inglourious Basterds,2009,18+,8.3/10,83/100,+ Rent or Buy
Reservoir Dogs,1992,18+,8.3/10,83/100,+ Rent or Buy
Léon: The Professional,1994,18+,8.5/10,83/100,+ Rent or Buy
Woman in the Dunes,1964,,8.5/10,83/100,+ Rent or Buy
Catch Me If You Can,2002,13+,8.1/10,83/100,+ Rent or Buy
Vivre Sa Vie,1962,,8.0/10,83/100,
The Guernsey Literary & Potato Peel Pie Society,2018,16+,7.4/10,83/100,
Rangasthalam,2018,13+,8.4/10,83/100,
Psych: The Movie,2017,7+,7.5/10,83/100,
American Factory,2019,13+,7.4/10,83/100,
The Exterminating Angel,1962,,8.1/10,83/100,+ Rent or Buy
Toy Story,1995,all,8.3/10,83/100,+ Rent or Buy
Out of the Past,1947,,8.0/10,83/100,Rent or Buy
Star Wars: Return of the Jedi,1983,7+,8.3/10,83/100,+ Rent or Buy
Late Spring,1949,,8.3/10,83/100,+ Rent or Buy
The Night Comes for Us,2018,18+,7.0/10,83/100,
Terminator 2: Judgment Day,1991,18+,8.5/10,83/100,Rent or Buy
Aliens,1986,18+,8.3/10,83/100,+ Rent or Buy
The Pianist,2002,18+,8.5/10,83/100,+ Rent or Buy
L'Avventura,1960,,7.9/10,83/100,+ Rent or Buy
Autumn Sonata,1978,7+,8.2/10,83/100,+ Rent or Buy
Iron Man,2008,13+,7.9/10,83/100,+ Rent or Buy
Central Station,1998,18+,8.0/10,83/100,Rent or Buy
His House,2020,16+,6.5/10,83/100,
One Flew Over the Cuckoo's Nest,1975,18+,8.7/10,83/100,+ Rent or Buy
Coco,2017,7+,8.4/10,83/100,+ Rent or Buy
Snatch,2000,18+,8.3/10,83/100,+ Rent or Buy
Bill Burr: Paper Tiger,2019,18+,8.2/10,83/100,
Finding Nemo,2003,all,8.1/10,83/100,+ Rent or Buy
Robin Hood,1973,all,7.6/10,83/100,+ Rent or Buy
Special 26,2013,,8.0/10,83/100,+ Rent or Buy
House,1977,16+,7.4/10,83/100,+ Rent or Buy
Cléo from 5 to 7,1962,,7.9/10,83/100,
Hearts of Darkness: A Filmmaker's Apocalypse,1991,18+,8.1/10,83/100,Rent or Buy
The Terminator,1984,18+,8.0/10,83/100,+ Rent or Buy
"The Good, the Bad and the Ugly",1966,18+,8.8/10,83/100,+ Rent or Buy
The Sixth Sense,1999,13+,8.1/10,83/100,+ Rent or Buy
