Title,Unnamed: 3,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,Unnamed: 9
Breaking Bad,TV,2008,18+,9.4/10,100/100,+ Rent or Buy,No Free Episodes
Game of Thrones,TV,2011,18+,9.3/10,99/100,+ Rent or Buy,No Free Episodes
Rick and Morty,TV,2013,18+,9.2/10,96/100,+ Rent or Buy,5 Free Episodes
Stranger Things,TV,2016,16+,8.7/10,96/100,,No Free Episodes
Chernobyl,TV,2019,18+,9.4/10,95/100,+ Rent or Buy,No Free Episodes
Attack on Titan,TV,2013,18+,9.0/10,95/100,+ Rent or Buy,61 Free Episodes
Sherlock,TV,2010,16+,9.1/10,95/100,Rent or Buy,No Free Episodes
Friends,TV,1994,16+,8.9/10,94/100,+ Rent or Buy,No Free Episodes
Invincible,TV,2021,18+,8.8/10,94/100,,No Free Episodes
Avatar: The Last Airbender,TV,2005,7+,9.3/10,94/100,+ Rent or Buy,No Free Episodes
Better Call Saul,TV,2015,18+,8.7/10,94/100,+ Rent or Buy,No Free Episodes
The Wire,TV,2002,18+,9.3/10,94/100,+ Rent or Buy,No Free Episodes
Band of Brothers,TV,2001,18+,9.4/10,93/100,+ Rent or Buy,No Free Episodes
The Office,TV,2005,16+,8.9/10,93/100,+ Rent or Buy,28 Free Episodes
Dark,TV,2017,16+,8.8/10,93/100,,No Free Episodes
The Walking Dead,TV,2010,18+,8.2/10,93/100,+ Rent or Buy,48 Free Episodes
Peaky Blinders,TV,2013,18+,8.8/10,93/100,+ Rent or Buy,No Free Episodes
Vikings,TV,2013,18+,8.5/10,93/100,+ Rent or Buy,No Free Episodes
The Mandalorian,TV,2019,7+,8.8/10,93/100,,No Free Episodes
Dexter,TV,2006,18+,8.6/10,93/100,+ Rent or Buy,2 Free Episodes
Black Mirror,TV,2011,18+,8.8/10,93/100,+ Rent or Buy,No Free Episodes
The Handmaid's Tale,TV,2017,18+,8.4/10,92/100,+ Rent or Buy,No Free Episodes
Fargo,TV,2014,18+,8.9/10,92/100,+ Rent or Buy,No Free Episodes
The Boys,TV,2019,18+,8.7/10,92/100,+ Rent or Buy,No Free Episodes
The Sopranos,TV,1999,18+,9.2/10,92/100,+ Rent or Buy,No Free Episodes
The Simpsons,TV,1989,7+,8.6/10,92/100,+ Rent or Buy,2 Free Episodes
House,TV,2004,16+,8.7/10,92/100,+ Rent or Buy,10 Free Episodes
Parks and Recreation,TV,2009,16+,8.6/10,91/100,+ Rent or Buy,30 Free Episodes
Mr. Robot,TV,2015,18+,8.5/10,91/100,+ Rent or Buy,No Free Episodes
The Queen's Gambit,TV,2020,18+,8.6/10,91/100,,No Free Episodes
Lost,TV,2004,16+,8.3/10,91/100,+ Rent or Buy,116 Free Episodes
Brooklyn Nine-Nine,TV,2013,16+,8.4/10,91/100,+ Rent or Buy,No Free Episodes
Mindhunter,TV,2017,18+,8.6/10,91/100,,No Free Episodes
