,,Title,,Year,Rating,,,Available On,,
0,,Knights of Badassdom,,2013,18+,5.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
1,,Dante's Inferno: An Animated Epic,,2010,18+,6.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
2,,Mike Birbiglia: My Girlfriend's Boyfriend,,2013,N/A,8.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
3,,Armadillo,,2010,N/A,7.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
4,,A Letter to Momo,,2011,7+,7.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
5,,Paradise Lost 2: Revelations,,2000,N/A,7.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
6,,Grand Canyon,,1991,18+,6.9/10,59/100,,,Want To SeeSeen
7,,Seed of Chucky,,2004,18+,4.8/10,59/100,+ Rent or Buy,,Want To SeeSeen
8,,Cats Don't Dance,,1997,all,6.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
9,,The Final,,2010,18+,5.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
10,,French Exit,,2021,18+,6.0/10,59/100,Rent or Buy,,Want To SeeSeen
11,,La León,,2007,N/A,6.4/10,59/100,,,Want To SeeSeen
12,,Sing,,2016,N/A,8.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
13,,Dancing at Lughnasa,,1998,7+,6.3/10,59/100,Rent or Buy,,Want To SeeSeen
14,,Blackmail,,1929,13+,7.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
15,,Ladies in Lavender,,2004,13+,7.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
16,,Tab Hunter Confidential,,2015,N/A,7.7/10,59/100,+ Rent or Buy,,Want To SeeSeen
17,,The Story of O,,1975,18+,5.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
18,,The Fan,,1996,18+,5.9/10,59/100,Rent or Buy,,Want To SeeSeen
19,,Eight Legged Freaks,,2002,13+,5.4/10,59/100,Rent or Buy,,Want To SeeSeen
20,,A Simple Twist of Fate,,1994,13+,6.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
21,,Jim Gaffigan: Beyond the Pale,,2006,16+,7.9/10,59/100,,,Want To SeeSeen
22,,Hichki,,2018,7+,7.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
23,,Back in Time,,2015,N/A,6.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
24,,Little Buddha,,1993,7+,6.1/10,59/100,Rent or Buy,,Want To SeeSeen
25,,Modest Heroes,,2018,7+,6.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
26,,When a Stranger Calls,,2006,13+,5.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
27,,The First King,,2019,18+,6.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
28,,Pure Country,,1992,7+,7.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
29,,Bury My Heart at Wounded Knee,,2007,16+,7.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
30,,Good Hair,,2009,13+,6.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
31,,Beyond the Mat,,1999,18+,7.6/10,59/100,Rent or Buy,,Want To SeeSeen
32,,Norbit,,2007,13+,4.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
33,,Dragon Quest: Your Story,,2019,7+,6.6/10,59/100,,,Want To SeeSeen
34,,3 Godfathers,,1948,N/A,7.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
35,,Split Second,,1992,18+,6.2/10,59/100,+ Rent or Buy,,Want To SeeSeen
36,,The Music Never Stopped,,2011,7+,7.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
37,,True Legend,,2010,18+,6.4/10,59/100,hiya+ Rent or Buy,,Want To SeeSeen
38,,Taking Care of Business,,1990,18+,6.4/10,59/100,Rent or Buy,,Want To SeeSeen
39,,Welcome to Sarajevo,,1997,18+,6.8/10,59/100,+ Rent or Buy,,Want To SeeSeen
40,,Honor Flight,,2012,7+,8.4/10,59/100,Rent or Buy,,Want To SeeSeen
41,,Madea's Family Reunion,,2006,13+,5.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
42,,Major League II,,1994,7+,5.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
43,,The Wiz,,1978,all,5.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
44,,The Honeymoon Killers,,1970,18+,7.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
45,,Time to Hunt,,2020,N/A,6.3/10,59/100,,,Want To SeeSeen
46,,The Borderlands,,2015,16+,5.8/10,59/100,+ Rent or Buy,,Want To SeeSeen
47,,The Pink Panther 2,,2009,7+,5.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
48,,Cowboys,,2020,N/A,5.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
49,,Superhero Movie,,2008,13+,4.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
0,,House of Dark Shadows,,1970,7+,6.4/10,59/100,Rent or Buy,,Want To SeeSeen
1,,The Survivalist,,2015,N/A,6.4/10,59/100,Rent or Buy,,Want To SeeSeen
2,,Tale of Tales,,2015,18+,6.4/10,59/100,Rent or Buy,,Want To SeeSeen
3,,The Ramen Girl,,2008,13+,6.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
4,,Books of Blood,,2020,18+,5.6/10,59/100,,,Want To SeeSeen
5,,Young and Innocent,,1937,7+,6.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
6,,A Wrinkle in Time,,2018,7+,4.2/10,59/100,+ Rent or Buy,,Want To SeeSeen
7,,Spider Baby,,1967,N/A,6.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
8,,Dames,,1934,N/A,7.1/10,59/100,Rent or Buy,,Want To SeeSeen
9,,Billionaire Boys Club,,2018,18+,5.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
10,,Ilo Ilo,,2013,N/A,7.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
11,,Linha de Passe,,2008,N/A,7.2/10,59/100,Rent or Buy,,Want To SeeSeen
12,,Tiger Cruise,,2005,7+,6.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
13,,Ripley's Game,,2002,18+,6.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
14,,Eye for an Eye,,1996,18+,6.2/10,59/100,+ Rent or Buy,,Want To SeeSeen
15,,How to Succeed in Business Without Really Trying,,1967,N/A,7.2/10,59/100,+ Rent or Buy,,Want To SeeSeen
16,,Friday the 13th Part VII: The New Blood,,1988,18+,5.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
17,,The Hitch-Hiker,,1953,N/A,7.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
18,,The Sacrament,,2013,18+,6.1/10,59/100,mons+ Rent or Buy,,Want To SeeSeen
19,,Easter Parade,,1948,N/A,7.4/10,59/100,Rent or Buy,,Want To SeeSeen
20,,Untold Scandal,,2003,N/A,6.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
21,,The Last Five Years,,2014,13+,5.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
22,,Struck by Lightning,,2012,N/A,6.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
23,,Old Dogs,,2009,7+,5.3/10,59/100,+ Rent or Buy,,Want To SeeSeen
24,,Sarkar,,2005,7+,7.6/10,59/100,+ Rent or Buy,,Want To SeeSeen
25,,Thank You for Your Service,,2017,18+,6.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
26,,The Secret Garden,,2020,7+,5.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
27,,1776,,1972,7+,7.6/10,59/100,Rent or Buy,,Want To SeeSeen
28,,The Vanished,,2020,18+,5.7/10,59/100,+ Rent or Buy,,Want To SeeSeen
29,,Ju Dou,,1990,13+,7.7/10,59/100,Rent or Buy,,Want To SeeSeen
30,,They Killed Sister Dorothy,,2008,N/A,7.3/10,59/100,,,Want To SeeSeen
31,,Pandora,,2016,18+,6.7/10,59/100,+ Rent or Buy,,Want To SeeSeen
32,,I'm Not Ashamed,,2016,13+,5.9/10,59/100,Rent or Buy,,Want To SeeSeen
33,,My Family and Other Animals,,2005,7+,7.4/10,59/100,,,Want To SeeSeen
34,,Harvie Krumpet,,2003,16+,8.0/10,59/100,Rent or Buy,,Want To SeeSeen
35,,I Give It a Year,,2013,18+,5.7/10,59/100,+ Rent or Buy,,Want To SeeSeen
36,,Tales from the Hood,,1995,18+,6.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
37,,Escape to Witch Mountain,,1975,all,6.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
38,,Dead & Breakfast,,2004,18+,5.8/10,59/100,Rent or Buy,,Want To SeeSeen
39,,The Glass House,,2001,13+,5.8/10,59/100,+ Rent or Buy,,Want To SeeSeen
40,,Remember Sunday,,2013,7+,6.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
41,,I Wish,,2011,7+,7.4/10,59/100,dox+ Rent or Buy,,Want To SeeSeen
42,,In the Electric Mist,,2009,18+,6.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
43,,Blind Chance,,1987,N/A,7.8/10,59/100,+ Rent or Buy,,Want To SeeSeen
44,,Perfect Stranger,,2007,18+,5.7/10,59/100,+ Rent or Buy,,Want To SeeSeen
45,,The Last Summer,,2019,16+,5.6/10,59/100,,,Want To SeeSeen
46,,Halloween III: Season of the Witch,,1982,18+,5.0/10,59/100,Rent or Buy,,Want To SeeSeen
47,,Bella,,2006,13+,7.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
48,,My Fellow Americans,,1996,13+,6.5/10,59/100,+ Rent or Buy,,Want To SeeSeen
49,,Leaves of Grass,,2009,18+,6.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
0,,Priceless,,2016,13+,6.1/10,59/100,+ Rent or Buy,,Want To SeeSeen
1,,Chris Rock: Bigger & Blacker,,1999,18+,8.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
2,,Acrimony,,2018,18+,5.8/10,59/100,Rent or Buy,,Want To SeeSeen
3,,Divan,,2003,N/A,6.8/10,59/100,,,Want To SeeSeen
4,,Ashby,,2015,18+,6.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
5,,My Summer of Love,,2005,18+,6.7/10,59/100,Rent or Buy,,Want To SeeSeen
6,,Semana Santa,,2015,N/A,6.1/10,59/100,,,Want To SeeSeen
7,,Season of the Witch,,2011,13+,5.4/10,59/100,+ Rent or Buy,,Want To SeeSeen
8,,Oklahoma!,,1999,N/A,7.9/10,59/100,Rent or Buy,,Want To SeeSeen
9,,A Girl Like Her,,2015,13+,7.0/10,59/100,+ Rent or Buy,,Want To SeeSeen
10,,Spree,,2020,N/A,5.9/10,59/100,+ Rent or Buy,,Want To SeeSeen
