,,Title,,Year,Rating,,,Available On,,
0,,The Revenant,,2015,18+,8.0/10,82/100,+ Rent or Buy,,Want To SeeSeen
1,,Little Women,,2019,7+,7.8/10,78/100,+ Rent or Buy,,Want To SeeSeen
2,,Maleficent: Mistress of Evil,,2019,7+,6.6/10,73/100,+ Rent or Buy,,Want To SeeSeen
3,,Logan,,2017,18+,8.1/10,82/100,Rent or Buy,,Want To SeeSeen
4,,Doctor Sleep,,2019,18+,7.3/10,75/100,+ Rent or Buy,,Want To SeeSeen
5,,Toy Story 4,,2019,all,7.7/10,79/100,+ Rent or Buy,,Want To SeeSeen
6,,Gemini Man,,2019,13+,5.7/10,71/100,+ Rent or Buy,,Want To SeeSeen
7,,Sicario: Day of the Soldado,,2018,18+,7.1/10,74/100,+ Rent or Buy,,Want To SeeSeen
8,,Hamilton,,2020,13+,8.5/10,78/100,,,Want To SeeSeen
9,,Jurassic World: Fallen Kingdom,,2018,13+,6.2/10,74/100,Rent or Buy,,Want To SeeSeen
10,,The King of Staten Island,,2020,18+,7.1/10,73/100,+ Rent or Buy,,Want To SeeSeen
11,,In the Shadow of the Moon,,2019,18+,6.2/10,75/100,,,Want To SeeSeen
12,,Monster Hunter,,2020,13+,5.3/10,67/100,Rent or Buy,,Want To SeeSeen
13,,Mank,,2020,18+,6.9/10,73/100,,,Want To SeeSeen
14,,Ocean's Eight,,2018,13+,6.9/10,76/100,+ Rent or Buy,,Want To SeeSeen
15,,Pirates of the Caribbean: Dead Men Tell No Tales,,2017,13+,6.5/10,75/100,+ Rent or Buy,,Want To SeeSeen
16,,Bad Boys for Life,,2020,18+,6.6/10,74/100,+ Rent or Buy,,Want To SeeSeen
17,,Godzilla: King of the Monsters,,2019,13+,6.0/10,71/100,Rent or Buy,,Want To SeeSeen
18,,Inside Out,,2015,7+,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
19,,Incredibles 2,,2018,7+,7.6/10,81/100,+ Rent or Buy,,Want To SeeSeen
20,,The Hunt,,2020,16+,6.5/10,72/100,+ Rent or Buy,,Want To SeeSeen
21,,Star Wars: The Last Jedi,,2017,13+,7.0/10,79/100,+ Rent or Buy,,Want To SeeSeen
22,,The Old Guard,,2020,18+,6.7/10,75/100,,,Want To SeeSeen
23,,"Extremely Wicked, Shockingly Evil and Vile",,2019,18+,6.7/10,73/100,,,Want To SeeSeen
24,,Pokémon Detective Pikachu,,2019,7+,6.6/10,73/100,+ Rent or Buy,,Want To SeeSeen
25,,Da 5 Bloods,,2020,18+,6.5/10,81/100,,,Want To SeeSeen
26,,The Little Things,,2021,18+,6.3/10,70/100,Rent or Buy,,Want To SeeSeen
27,,Minari,,2020,13+,7.5/10,76/100,Rent or Buy,,Want To SeeSeen
28,,Bloodshot,,2020,13+,5.7/10,71/100,+ Rent or Buy,,Want To SeeSeen
29,,Ant-Man and the Wasp,,2018,13+,7.0/10,78/100,+ Rent or Buy,,Want To SeeSeen
30,,Suicide Squad,,2016,13+,5.9/10,76/100,+ Rent or Buy,,Want To SeeSeen
31,,How to Train Your Dragon: The Hidden World,,2019,7+,7.5/10,75/100,+ Rent or Buy,,Want To SeeSeen
32,,Peninsula,,2020,N/A,5.5/10,65/100,+ Rent or Buy,,Want To SeeSeen
33,,El Camino: A Breaking Bad Movie,,2019,18+,7.3/10,76/100,,,Want To SeeSeen
34,,Code 8,,2019,N/A,6.1/10,70/100,+ Rent or Buy,,Want To SeeSeen
35,,Hereditary,,2018,18+,7.3/10,77/100,+ Rent or Buy,,Want To SeeSeen
36,,Miracle in Cell No. 7,,2019,16+,8.2/10,76/100,+ Rent or Buy,,Want To SeeSeen
37,,Jojo Rabbit,,2019,13+,7.9/10,80/100,+ Rent or Buy,,Want To SeeSeen
38,,I'm Thinking of Ending Things,,2020,18+,6.6/10,71/100,,,Want To SeeSeen
39,,Hellboy,,2019,18+,5.2/10,68/100,+ Rent or Buy,,Want To SeeSeen
40,,Crazy Rich Asians,,2018,13+,6.9/10,75/100,+ Rent or Buy,,Want To SeeSeen
41,,Bliss,,2021,18+,5.3/10,65/100,,,Want To SeeSeen
42,,Terminator: Dark Fate,,2019,18+,6.2/10,73/100,+ Rent or Buy,,Want To SeeSeen
43,,The Lighthouse,,2019,18+,7.5/10,77/100,+ Rent or Buy,,Want To SeeSeen
44,,Frozen II,,2019,7+,6.8/10,75/100,+ Rent or Buy,,Want To SeeSeen
45,,Good Boys,,2019,18+,6.7/10,71/100,+ Rent or Buy,,Want To SeeSeen
46,,It Chapter Two,,2019,18+,6.5/10,74/100,+ Rent or Buy,,Want To SeeSeen
47,,Roma,,2018,18+,7.7/10,90/100,,,Want To SeeSeen
48,,The Midnight Sky,,2020,13+,5.6/10,69/100,,,Want To SeeSeen
49,,Alita: Battle Angel,,2019,13+,7.3/10,76/100,Rent or Buy,,Want To SeeSeen
0,,Dark Waters,,2019,13+,7.6/10,76/100,+ Rent or Buy,,Want To SeeSeen
1,,Rampage,,2018,13+,6.1/10,73/100,+ Rent or Buy,,Want To SeeSeen
2,,Kong: Skull Island,,2017,13+,6.6/10,77/100,+ Rent or Buy,,Want To SeeSeen
3,,Midway,,2019,13+,6.7/10,73/100,+ Rent or Buy,,Want To SeeSeen
4,,Sputnik,,2020,18+,6.4/10,69/100,+ Rent or Buy,,Want To SeeSeen
5,,One Night in Miami...,,2021,18+,7.1/10,84/100,,,Want To SeeSeen
6,,Gerald's Game,,2017,18+,6.5/10,85/100,,,Want To SeeSeen
7,,Zombieland: Double Tap,,2019,18+,6.7/10,75/100,+ Rent or Buy,,Want To SeeSeen
8,,The Hobbit: The Battle of the Five Armies,,2014,13+,7.4/10,79/100,+ Rent or Buy,,Want To SeeSeen
9,,Judas and the Black Messiah,,2021,18+,7.5/10,74/100,Rent or Buy,,Want To SeeSeen
10,,Alien: Covenant,,2017,18+,6.4/10,73/100,+ Rent or Buy,,Want To SeeSeen
11,,The Dry,,2021,18+,7.0/10,69/100,Rent or Buy,,Want To SeeSeen
12,,Murder Mystery,,2019,13+,6.0/10,73/100,,,Want To SeeSeen
13,,Spectre,,2015,13+,6.8/10,76/100,+ Rent or Buy,,Want To SeeSeen
14,,King Arthur: Legend of the Sword,,2017,13+,6.7/10,75/100,+ Rent or Buy,,Want To SeeSeen
15,,Brightburn,,2019,18+,6.1/10,69/100,+ Rent or Buy,,Want To SeeSeen
16,,The Fate of the Furious,,2017,13+,6.6/10,73/100,Rent or Buy,,Want To SeeSeen
17,,Crawl,,2019,18+,6.1/10,71/100,+ Rent or Buy,,Want To SeeSeen
18,,Get Out,,2017,18+,7.7/10,80/100,Rent or Buy,,Want To SeeSeen
19,,Spotlight,,2015,18+,8.1/10,82/100,+ Rent or Buy,,Want To SeeSeen
20,,The Ballad of Buster Scruggs,,2018,16+,7.3/10,89/100,,,Want To SeeSeen
21,,Danger Close,,2019,18+,6.8/10,67/100,+ Rent or Buy,,Want To SeeSeen
22,,Moana,,2016,7+,7.6/10,80/100,+ Rent or Buy,,Want To SeeSeen
23,,Bohemian Rhapsody,,2018,13+,7.9/10,82/100,Rent or Buy,,Want To SeeSeen
24,,Star Trek Beyond,,2016,13+,7.0/10,77/100,+ Rent or Buy,,Want To SeeSeen
25,,Saint Maud,,2019,18+,6.7/10,70/100,,,Want To SeeSeen
26,,Us,,2019,18+,6.8/10,75/100,Rent or Buy,,Want To SeeSeen
27,,To All the Boys: Always and Forever,,2021,N/A,6.3/10,64/100,,,Want To SeeSeen
28,,The Courier,,2020,13+,7.1/10,70/100,Rent or Buy,,Want To SeeSeen
29,,The Kissing Booth,,2018,16+,6.0/10,71/100,,,Want To SeeSeen
30,,Aladdin,,2019,7+,6.9/10,77/100,+ Rent or Buy,,Want To SeeSeen
31,,Nocturnal Animals,,2016,18+,7.5/10,78/100,+ Rent or Buy,,Want To SeeSeen
32,,Spontaneous,,2020,18+,6.5/10,67/100,+ Rent or Buy,,Want To SeeSeen
33,,Big Hero 6,,2014,7+,7.8/10,81/100,+ Rent or Buy,,Want To SeeSeen
34,,Passengers,,2016,13+,7.0/10,77/100,+ Rent or Buy,,Want To SeeSeen
35,,Fyre,,2019,18+,7.2/10,87/100,,,Want To SeeSeen
36,,The Girl on the Train,,2021,18+,4.4/10,58/100,,,Want To SeeSeen
37,,The Ritual,,2017,18+,6.3/10,81/100,,,Want To SeeSeen
38,,The Mole Agent,,2020,N/A,7.7/10,74/100,+ Rent or Buy,,Want To SeeSeen
39,,Gone Girl,,2014,18+,8.1/10,85/100,+ Rent or Buy,,Want To SeeSeen
40,,The Maze Runner,,2014,13+,6.8/10,75/100,Rent or Buy,,Want To SeeSeen
