,,Title,,Year,Rating,,,Available On,,
0,,Solo: A Star Wars Story,,2018,13+,6.9/10,76/100,+Rent or Buy,,Want To SeeSeen
1,,Palm Springs,,2020,18+,7.4/10,76/100,,,Want To SeeSeen
2,,David Attenborough: A Life on Our Planet,,2020,7+,9.0/10,92/100,,,Want To SeeSeen
3,,Rambo: Last Blood,,2019,18+,6.1/10,70/100,+Rent or Buy,,Want To SeeSeen
4,,Triple Frontier,,2019,18+,6.4/10,71/100,,,Want To SeeSeen
5,,Bloodshot,,2020,13+,5.7/10,70/100,+Rent or Buy,,Want To SeeSeen
6,,Angel Has Fallen,,2019,18+,6.4/10,72/100,+Rent or Buy,,Want To SeeSeen
7,,Wind River,,2017,18+,7.7/10,78/100,+Rent or Buy,,Want To SeeSeen
8,,Kingsman: The Golden Circle,,2017,18+,6.7/10,75/100,+Rent or Buy,,Want To SeeSeen
9,,Hellboy,,2019,18+,5.2/10,67/100,+Rent or Buy,,Want To SeeSeen
10,,Ma Rainey's Black Bottom,,2020,18+,7.0/10,83/100,,,Want To SeeSeen
11,,Rocketman,,2019,18+,7.3/10,76/100,+Rent or Buy,,Want To SeeSeen
12,,Hillbilly Elegy,,2020,18+,6.7/10,76/100,,,Want To SeeSeen
13,,Bulbbul,,2020,18+,6.6/10,64/100,,,Want To SeeSeen
14,,Alita: Battle Angel,,2019,13+,7.3/10,75/100,Rent or Buy,,Want To SeeSeen
15,,Jurassic World: Fallen Kingdom,,2018,13+,6.2/10,73/100,Rent or Buy,,Want To SeeSeen
16,,The Ballad of Buster Scruggs,,2018,16+,7.3/10,88/100,,,Want To SeeSeen
17,,Gemini Man,,2019,13+,5.7/10,70/100,+Rent or Buy,,Want To SeeSeen
18,,Ant-Man and the Wasp,,2018,13+,7.0/10,77/100,+Rent or Buy,,Want To SeeSeen
19,,Batman v Superman: Dawn of Justice,,2016,13+,6.4/10,76/100,+Rent or Buy,,Want To SeeSeen
20,,Fractured,,2019,18+,6.4/10,71/100,+Rent or Buy,,Want To SeeSeen
21,,Locked Down,,2021,18+,5.2/10,61/100,,,Want To SeeSeen
22,,Good Boys,,2019,18+,6.7/10,70/100,+Rent or Buy,,Want To SeeSeen
23,,Inside Out,,2015,7+,8.1/10,83/100,+Rent or Buy,,Want To SeeSeen
24,,The Hitman's Bodyguard,,2017,18+,6.9/10,76/100,Rent or Buy,,Want To SeeSeen
25,,The Mole Agent,,2020,N/A,7.7/10,74/100,+Rent or Buy,,Want To SeeSeen
26,,Baby Driver,,2017,18+,7.6/10,80/100,Rent or Buy,,Want To SeeSeen
27,,Host,,2020,16+,6.5/10,71/100,+Rent or Buy,,Want To SeeSeen
28,,Uncut Gems,,2019,18+,7.4/10,77/100,+Rent or Buy,,Want To SeeSeen
29,,One Night in Miami...,,2021,18+,7.1/10,84/100,,,Want To SeeSeen
30,,Toy Story 4,,2019,all,7.7/10,78/100,+Rent or Buy,,Want To SeeSeen
31,,"I, Tonya",,2018,16+,7.5/10,77/100,+Rent or Buy,,Want To SeeSeen
32,,The Lighthouse,,2019,18+,7.5/10,76/100,+Rent or Buy,,Want To SeeSeen
33,,Godzilla: King of the Monsters,,2019,13+,6.0/10,72/100,Rent or Buy,,Want To SeeSeen
34,,Justice League,,2017,13+,6.2/10,75/100,+Rent or Buy,,Want To SeeSeen
35,,Wrong Turn,,2021,18+,5.4/10,63/100,Rent or Buy,,Want To SeeSeen
36,,Voyagers,,2021,13+,5.4/10,62/100,Rent or Buy,,Want To SeeSeen
37,,El Camino: A Breaking Bad Movie,,2019,18+,7.3/10,76/100,,,Want To SeeSeen
38,,Jumanji: Welcome to the Jungle,,2017,13+,6.9/10,76/100,Rent or Buy,,Want To SeeSeen
39,,The King of Staten Island,,2020,18+,7.1/10,72/100,+Rent or Buy,,Want To SeeSeen
40,,Pirates of the Caribbean: Dead Men Tell No Tales,,2017,13+,6.5/10,75/100,+Rent or Buy,,Want To SeeSeen
41,,It Chapter Two,,2019,18+,6.5/10,74/100,+Rent or Buy,,Want To SeeSeen
42,,The Old Guard,,2020,18+,6.7/10,75/100,,,Want To SeeSeen
43,,How to Train Your Dragon: The Hidden World,,2019,7+,7.5/10,74/100,+Rent or Buy,,Want To SeeSeen
44,,Creed II,,2018,13+,7.1/10,75/100,+Rent or Buy,,Want To SeeSeen
45,,Pokémon Detective Pikachu,,2019,7+,6.6/10,71/100,+Rent or Buy,,Want To SeeSeen
46,,The Lion King,,2019,7+,6.9/10,75/100,+Rent or Buy,,Want To SeeSeen
47,,Guns Akimbo,,2020,18+,6.3/10,69/100,+Rent or Buy,,Want To SeeSeen
48,,The Mauritanian,,2021,18+,7.4/10,71/100,Rent or Buy,,Want To SeeSeen
49,,The Hateful Eight,,2015,18+,7.8/10,81/100,+Rent or Buy,,Want To SeeSeen
0,,The Hunt,,2020,16+,6.5/10,72/100,+Rent or Buy,,Want To SeeSeen
1,,Night in Paradise,,2020,16+,6.7/10,60/100,,,Want To SeeSeen
2,,Justice Society: World War II,,2021,13+,6.4/10,67/100,Rent or Buy,,Want To SeeSeen
3,,Star Wars: The Force Awakens,,2015,13+,7.9/10,82/100,+Rent or Buy,,Want To SeeSeen
4,,Cold Pursuit,,2019,18+,6.2/10,68/100,+Rent or Buy,,Want To SeeSeen
5,,Split,,2016,13+,7.3/10,76/100,Rent or Buy,,Want To SeeSeen
6,,Roma,,2018,18+,7.7/10,90/100,,,Want To SeeSeen
7,,Peppermint,,2018,18+,6.5/10,72/100,+Rent or Buy,,Want To SeeSeen
8,,Star Wars: The Last Jedi,,2017,13+,7.0/10,78/100,+Rent or Buy,,Want To SeeSeen
9,,Portrait of a Lady on Fire,,2019,18+,8.1/10,76/100,+Rent or Buy,,Want To SeeSeen
10,,Kingsman: The Secret Service,,2014,18+,7.7/10,80/100,+Rent or Buy,,Want To SeeSeen
11,,Fyre,,2019,18+,7.2/10,87/100,,,Want To SeeSeen
12,,Freaks,,2018,18+,6.7/10,69/100,+Rent or Buy,,Want To SeeSeen
13,,Tag,,2018,18+,6.5/10,71/100,+Rent or Buy,,Want To SeeSeen
14,,Suicide Squad,,2016,13+,5.9/10,75/100,+Rent or Buy,,Want To SeeSeen
15,,Hidden Figures,,2016,7+,7.8/10,80/100,+Rent or Buy,,Want To SeeSeen
16,,Annabelle Comes Home,,2019,18+,5.9/10,68/100,+Rent or Buy,,Want To SeeSeen
17,,What Happened to Monday,,2017,18+,6.9/10,83/100,,,Want To SeeSeen
18,,Green Book,,2018,13+,8.2/10,79/100,Rent or Buy,,Want To SeeSeen
19,,Dark Waters,,2019,13+,7.6/10,76/100,+Rent or Buy,,Want To SeeSeen
20,,The Upside,,2019,13+,7.0/10,73/100,+Rent or Buy,,Want To SeeSeen
21,,The Girl on the Train,,2021,18+,4.4/10,58/100,,,Want To SeeSeen
22,,Black Water: Abyss,,2020,N/A,4.5/10,57/100,+Rent or Buy,,Want To SeeSeen
23,,Mission: Impossible - Fallout,,2018,13+,7.7/10,79/100,+Rent or Buy,,Want To SeeSeen
24,,Hamilton,,2020,13+,8.5/10,77/100,,,Want To SeeSeen
25,,A Star Is Born,,2018,18+,7.6/10,79/100,+Rent or Buy,,Want To SeeSeen
26,,The Peanut Butter Falcon,,2019,13+,7.6/10,75/100,+Rent or Buy,,Want To SeeSeen
27,,Guardians of the Galaxy,,2014,13+,8.0/10,85/100,+Rent or Buy,,Want To SeeSeen
28,,In the Shadow of the Moon,,2019,18+,6.2/10,74/100,,,Want To SeeSeen
29,,Whiplash,,2014,18+,8.5/10,84/100,+Rent or Buy,,Want To SeeSeen
