,,Title,,Year,Rating,,,Available On,,
0,,Mare of Easttown,TV,2021,18+,8.5/10,81/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Marvel's M.O.D.O.K.,TV,2021,18+,6.3/10,68/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,StartUp,TV,2016,18+,8.0/10,82/100,+ Rent or Buy,30 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,The Underground Railroad,TV,2021,18+,7.1/10,73/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,Yellowstone,TV,2018,18+,8.6/10,89/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Hacks,TV,2021,N/A,8.0/10,72/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Invincible,TV,2021,18+,8.8/10,94/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Solos,TV,2021,N/A,5.4/10,60/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Superman & Lois,TV,2021,16+,7.9/10,81/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,Master of None,TV,2015,18+,8.3/10,84/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,The Handmaid's Tale,TV,2017,18+,8.4/10,92/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,Friends,TV,1994,16+,8.9/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,The Nevers,TV,2021,18+,7.4/10,79/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,"Love, Death & Robots",TV,2019,18+,8.5/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,Parks and Recreation,TV,2009,16+,8.6/10,91/100,+ Rent or Buy,30 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Jupiters Legacy,TV,2021,18+,6.9/10,81/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Ted Lasso,TV,2020,18+,8.7/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,Halston,TV,2021,18+,7.6/10,71/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,The Bad Batch,TV,2021,7+,8.7/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,Who Killed Sara?,TV,2021,18+,6.5/10,75/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Mythic Quest,TV,2020,18+,7.7/10,83/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,Cruel Summer,TV,2021,16+,7.6/10,80/100,,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Sherlock,TV,2010,16+,9.1/10,95/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,The Office,TV,2005,16+,8.9/10,93/100,+ Rent or Buy,28 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,Girls5eva,TV,2021,18+,7.3/10,75/100,,3 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,It's Always Sunny in Philadelphia,TV,2005,18+,8.8/10,91/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,Battlestar Galactica,TV,2004,16+,8.7/10,83/100,+ Rent or Buy,74 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,In Treatment,TV,2008,18+,8.3/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,Rick and Morty,TV,2013,18+,9.2/10,96/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Shadow and Bone,TV,2021,16+,7.8/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,The Mosquito Coast,TV,2021,18+,7.5/10,72/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,Line of Duty,TV,2012,18+,8.7/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,Better Call Saul,TV,2015,18+,8.7/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,Grey's Anatomy,TV,2005,16+,7.5/10,89/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,Prodigal Son,TV,2019,16+,7.7/10,80/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Mad Men,TV,2007,16+,8.6/10,90/100,+ Rent or Buy,88 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,Shameless,TV,2011,18+,8.5/10,90/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,A Discovery of Witches,TV,2018,16+,8.0/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,The Walking Dead,TV,2010,18+,8.2/10,93/100,+ Rent or Buy,48 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,NCIS,TV,2003,16+,7.7/10,83/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,The Chosen,TV,2019,all,9.7/10,78/100,,8 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,The Blacklist,TV,2013,16+,8.0/10,90/100,+ Rent or Buy,7 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Lupin,TV,2021,N/A,7.6/10,75/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,This Is Us,TV,2016,16+,8.7/10,88/100,+ Rent or Buy,15 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,Resident Alien,TV,2021,16+,8.2/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Vikings,TV,2013,18+,8.5/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,That '70s Show,TV,1998,16+,8.0/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Big Sky,TV,2020,16+,6.7/10,74/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,Manifest,TV,2018,16+,7.2/10,77/100,+ Rent or Buy,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Attack on Titan,TV,2013,18+,9.0/10,95/100,+ Rent or Buy,61 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Fear the Walking Dead,TV,2015,18+,6.9/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Billions,TV,2016,18+,8.4/10,86/100,+Rent or Buy,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Fargo,TV,2014,18+,8.9/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,Berserk,TV,2016,18+,6.8/10,62/100,+Rent or Buy,25Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,For All Mankind,TV,2019,18+,7.8/10,85/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Snowpiercer,TV,2020,18+,6.9/10,74/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Jujutsu Kaisen,TV,2020,16+,8.8/10,77/100,,16Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Justified,TV,2010,18+,8.6/10,88/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Lost,TV,2004,16+,8.3/10,91/100,+Rent or Buy,116Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,The Big Bang Theory,TV,2007,16+,8.1/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,The Boys,TV,2019,18+,8.7/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,The Good Doctor,TV,2017,16+,8.1/10,80/100,+Rent or Buy,16Free Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,The Expanse,TV,2015,16+,8.5/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,Fringe,TV,2008,16+,8.4/10,88/100,+Rent or Buy,100Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,Lucifer,TV,2016,16+,8.1/10,89/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Demon Slayer: Kimetsu no Yaiba,TV,2019,18+,8.7/10,89/100,+Rent or Buy,26Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,War of the Worlds,TV,2019,16+,6.3/10,67/100,,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,Law & Order: Special Victims Unit,TV,1999,16+,8.0/10,79/100,+Rent or Buy,41Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Zoey's Extraordinary Playlist,TV,2020,16+,8.1/10,80/100,+Rent or Buy,25Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,Family Guy,TV,1999,16+,8.1/10,82/100,+Rent or Buy,9Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Dexter,TV,2006,18+,8.6/10,93/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,Gomorrah,TV,2014,18+,8.6/10,83/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Debris,TV,2021,16+,6.6/10,75/100,,12Free Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Ozark,TV,2017,18+,8.4/10,89/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,Seinfeld,TV,1989,16+,8.8/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,The Equalizer,TV,2021,16+,4.7/10,66/100,+Rent or Buy,10Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,Queen of the South,TV,2016,16+,7.9/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,The Sopranos,TV,1999,18+,9.2/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,Pose,TV,2018,16+,8.6/10,87/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Superstore,TV,2015,16+,7.8/10,81/100,+Rent or Buy,7Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,Saturday Night Live,TV,1975,16+,8.0/10,77/100,+Rent or Buy,708Free Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,What We Do in the Shadows,TV,2019,18+,8.5/10,85/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,Last Man Standing,TV,2011,7+,7.5/10,73/100,+Rent or Buy,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,Bob's Burgers,TV,2011,16+,8.1/10,85/100,+Rent or Buy,7Free Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,Good Girls,TV,2018,16+,7.8/10,83/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Modern Family,TV,2009,7+,8.4/10,90/100,+Rent or Buy,13Free Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,Mr Inbetween,TV,2018,18+,8.4/10,77/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,SpongeBob SquarePants,TV,1999,7+,8.2/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,The Bureau,TV,2015,16+,8.7/10,75/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,The Falcon and the Winter Soldier,TV,2021,16+,7.5/10,89/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,The Me You Can't See,TV,2021,18+,6.4/10,57/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Castle,TV,2009,16+,8.1/10,84/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,The Crime of the Century,TV,2021,N/A,8.2/10,67/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Brooklyn Nine-Nine,TV,2013,16+,8.4/10,91/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,True Detective,TV,2014,18+,8.9/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Doctor Who,TV,2005,7+,8.6/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,The Simpsons,TV,1989,7+,8.6/10,92/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Jurassic World: Camp Cretaceous,TV,2020,7+,7.4/10,69/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,The Americans,TV,2013,18+,8.4/10,87/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Reno 911!,TV,2003,16+,7.9/10,76/100,+Rent or Buy,79Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Twin Peaks,TV,1990,18+,8.8/10,89/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Midsomer Murders,TV,1997,7+,7.7/10,73/100,+Rent or Buy,123Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,The Innocent,TV,2021,N/A,8.0/10,75/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,Criminal Minds,TV,2005,16+,8.0/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
